CUSTOMER_NUMBER,ACCOUNT_NUMBER,CUSTOMER_SEGMENT,ACTION_DATE,ACTION_STRATEGY,DPD_OF_ACTION,COLLECTOR_CODE,SUCCESSFUL_ACTION
CN55949886,6964698233,S1,16-09-2001,ACT19,31-40,C9,0
CN83062920,3275896763,S1,03-10-2001,ACT20,31-40,C10,0
CN73958754,9816028563,S1,24-10-2001,ACT16,31-40,C3,1
CN81563510,6120787371,S1,30-11-2001,ACT17,31-40,C8,0
CN46585646,9102757865,S1,02-12-2001,ACT18,31-40,C7,1
CN85226710,8479290339,S1,18-12-2001,ACT19,31-40,C6,0
CN46494836,3155721985,S1,24-12-2001,ACT20,31-40,C9,1
CN52888766,3931078481,S1,12-06-2001,ACT16,31-40,C19,1
CN56078017,5639712143,S1,19-08-2001,ACT17,31-40,C4,0
CN40279417,5813099571,S1,24-04-2001,ACT18,31-40,C6,1
CN57253916,6955444144,S1,16-09-2001,ACT19,31-40,C9,0
CN57568901,5192531443,S1,03-10-2001,ACT20,31-40,C10,0
CN27946727,3248907697,S1,24-10-2001,ACT16,31-40,C3,1
CN69562776,6529230258,S1,30-11-2001,ACT17,31-40,C8,0
CN78231740,9270357580,S1,02-12-2001,ACT18,31-40,C7,1
CN51866428,3822908894,S1,18-12-2001,ACT19,31-40,C6,0
CN73113007,3778710065,S1,24-12-2001,ACT20,31-40,C9,1
CN90513152,7798232359,S1,12-06-2001,ACT16,31-40,C19,1
CN64670664,9583239331,S1,19-08-2001,ACT17,31-40,C4,0
CN79022151,8048536677,S1,24-04-2001,ACT18,31-40,C6,0
CN22671896,6905003346,S1,16-09-2001,ACT19,31-40,C9,0
CN36935265,8707836320,S1,03-10-2001,ACT20,31-40,C10,0
CN62674459,8282580917,S1,24-10-2001,ACT16,31-40,C3,1
CN93890159,6850736113,S1,30-11-2001,ACT17,31-40,C8,0
CN40280299,3091549571,S1,02-12-2001,ACT18,31-40,C7,1
CN39559877,2400640655,S1,18-12-2001,ACT19,31-40,C6,0
CN74081079,5654918971,S1,24-12-2001,ACT20,31-40,C9,1
CN69663143,2743925506,S1,12-06-2001,ACT16,31-40,C19,1
CN47093653,9424874816,S1,19-08-2001,ACT17,31-40,C4,0
CN34860020,5504704966,S1,24-04-2001,ACT18,31-40,C6,1
CN97438657,2319927768,S1,16-09-2001,ACT19,31-40,C9,0
CN81242239,3958473737,S1,03-10-2001,ACT20,31-40,C10,0
CN98602779,9985447593,S1,24-10-2001,ACT16,31-40,C3,1
CN59342001,7409547096,S1,30-11-2001,ACT17,31-40,C8,0
CN25601517,6832005725,S1,02-12-2001,ACT18,31-40,C7,1
CN41804238,3410297213,S1,18-12-2001,ACT19,31-40,C6,0
CN72586347,4714974437,S1,24-12-2001,ACT20,31-40,C9,1
CN46374635,6973707740,S1,12-06-2001,ACT16,31-40,C19,1
CN66289194,3003600069,S1,19-08-2001,ACT17,31-40,C4,0
CN88131069,4367424532,S1,24-04-2001,ACT18,31-40,C6,1
CN42283306,6229730035,S1,16-09-2001,ACT19,31-40,C9,0
CN37569175,6123445076,S1,03-10-2001,ACT20,31-40,C10,0
CN30903748,8499549273,S1,24-10-2001,ACT16,31-40,C3,1
CN51253203,4853784851,S1,30-11-2001,ACT17,31-40,C8,0
CN37074722,3017522069,S1,02-12-2001,ACT18,31-40,C7,0
CN78258348,6601751428,S1,18-12-2001,ACT19,31-40,C6,0
CN36626673,7011918512,S1,24-12-2001,ACT20,31-40,C9,1
CN71674374,4686874096,S1,12-06-2001,ACT16,31-40,C19,1
CN44188004,3385509761,S1,19-08-2001,ACT17,31-40,C4,0
CN70886090,8467653688,S1,24-04-2001,ACT18,31-40,C6,1
CN46011035,5121037637,S1,16-09-2001,ACT19,31-40,C9,0
CN63830477,7196338601,S1,03-10-2001,ACT20,31-40,C10,0
CN63593013,6549977574,S1,24-10-2001,ACT16,31-40,C3,1
CN59534804,9313287035,S1,30-11-2001,ACT17,31-40,C8,0
CN48003068,8670073514,S1,02-12-2001,ACT18,31-40,C7,0
CN69652241,9563868402,S1,18-12-2001,ACT19,31-40,C6,0
CN52956449,7702654436,S1,24-12-2001,ACT20,31-40,C9,1
CN93587389,5491187712,S1,12-06-2001,ACT16,31-40,C19,1
CN40430902,4405717041,S1,19-08-2001,ACT17,31-40,C4,0
CN93883701,2412601672,S1,24-04-2001,ACT18,31-40,C6,1
CN80542757,9631387422,S1,16-09-2001,ACT19,31-40,C9,0
CN43650228,4908353291,S1,03-10-2001,ACT20,31-40,C10,0
CN41250014,9830912127,S1,24-10-2001,ACT16,31-40,C3,1
CN98137511,4678803554,S1,30-11-2001,ACT17,31-40,C8,0
CN95831197,5394022394,S1,02-12-2001,ACT18,31-40,C7,0
CN89771026,7604715557,S1,18-12-2001,ACT19,31-40,C6,0
CN36573230,3698044633,S1,24-12-2001,ACT20,31-40,C9,1
CN86337740,6146830755,S1,12-06-2001,ACT16,31-40,C19,1
CN61910963,9351405742,S1,19-08-2001,ACT17,31-40,C4,0
CN59694045,8183806141,S1,24-04-2001,ACT18,31-40,C6,0
CN51513786,9844185756,S2,16-09-2001,ACT16,31-40,C9,0
CN48785251,9314809924,S2,03-10-2001,ACT17,31-40,C10,0
CN61792851,4887277021,S2,24-10-2001,ACT18,31-40,C3,1
CN99965848,5540141736,S2,30-11-2001,ACT19,31-40,C8,0
CN66063350,6578945741,S2,02-12-2001,ACT20,31-40,C7,1
CN48843273,7359000169,S2,18-12-2001,ACT16,31-40,C6,0
CN86439589,5719845579,S2,24-12-2001,ACT17,31-40,C9,1
CN82295723,3343556603,S2,24-10-2001,ACT18,31-40,C3,1
CN97883336,7750862113,S2,30-11-2001,ACT19,31-40,C8,0
CN99619192,6382781428,S2,02-12-2001,ACT20,31-40,C7,1
CN25851609,4327449676,S2,18-12-2001,ACT16,31-40,C6,0
CN74213948,7422912487,S2,24-12-2001,ACT17,31-40,C9,1
CN64589558,6821163052,S2,12-06-2001,ACT18,31-40,C19,1
CN22804969,8598197606,S2,19-08-2001,ACT19,31-40,C4,0
CN26613743,2582257620,S2,24-04-2001,ACT20,31-40,C6,1
CN90900092,9345551081,S2,16-09-2001,ACT16,31-40,C9,0
CN99432182,3192476673,S2,03-10-2001,ACT17,31-40,C10,0
CN78002958,9691281728,S2,24-10-2001,ACT18,31-40,C3,1
CN29085038,5203606243,S2,30-11-2001,ACT19,31-40,C8,0
CN28124202,7692369457,S2,02-12-2001,ACT20,31-40,C7,1
CN41057253,8614317565,S2,18-12-2001,ACT16,31-40,C6,0
CN75069564,7302937932,S2,24-12-2001,ACT17,31-40,C9,1
CN24382375,6029789953,S2,12-06-2001,ACT18,31-40,C19,1
CN60388898,7304678917,S2,19-08-2001,ACT19,31-40,C4,0
CN96752472,8243382095,S2,24-04-2001,ACT20,31-40,C6,1
CN89399358,7546262843,S2,16-09-2001,ACT16,31-40,C9,0
CN55791160,9106798259,S2,03-10-2001,ACT17,31-40,C10,0
CN45634454,7841235336,S2,24-10-2001,ACT18,31-40,C3,1
CN31572005,3575367362,S2,30-11-2001,ACT19,31-40,C8,0
CN59846836,6443649310,S2,02-12-2001,ACT20,31-40,C7,1
CN98417844,2628226196,S2,18-12-2001,ACT16,31-40,C6,0
CN46323373,8447882946,S2,24-12-2001,ACT17,31-40,C9,1
CN71733249,9152561583,S2,12-06-2001,ACT18,31-40,C19,1
CN71564767,9883858467,S2,19-08-2001,ACT19,31-40,C4,0
CN45367898,8794053569,S2,24-04-2001,ACT20,31-40,C6,1
CN23533427,5809577385,S2,16-09-2001,ACT16,31-40,C9,0
CN49524330,2798418642,S2,03-10-2001,ACT17,31-40,C10,0
CN65267532,8292150779,S2,24-10-2001,ACT18,31-40,C3,1
CN84981051,6253130430,S2,30-11-2001,ACT19,31-40,C8,0
CN72057793,4988947996,S2,02-12-2001,ACT20,31-40,C7,1
CN37300322,6149583036,S2,18-12-2001,ACT16,31-40,C6,0
CN69252973,7648852503,S2,24-12-2001,ACT17,31-40,C9,1
CN48858218,4803949129,S2,24-10-2001,ACT18,31-40,C3,1
CN35361171,8156441867,S2,30-11-2001,ACT19,31-40,C8,0
CN54987990,9435587871,S2,02-12-2001,ACT20,31-40,C7,1
CN76156839,8034505867,S2,18-12-2001,ACT16,31-40,C6,0
CN31720529,6144272440,S2,24-12-2001,ACT17,31-40,C9,1
CN73510389,9976147828,S2,12-06-2001,ACT18,31-40,C19,1
CN76920438,3239732668,S2,19-08-2001,ACT19,31-40,C4,0
CN94151398,8945626997,S2,24-04-2001,ACT20,31-40,C6,1
CN50145346,9928244410,S2,16-09-2001,ACT16,31-40,C9,0
CN29359647,8151142528,S2,03-10-2001,ACT17,31-40,C10,0
CN70900617,5240998717,S2,24-10-2001,ACT18,31-40,C3,1
CN77526193,2793364783,S2,30-11-2001,ACT19,31-40,C8,0
CN80690584,9964435409,S2,02-12-2001,ACT20,31-40,C7,1
CN25500322,5051030008,S2,18-12-2001,ACT16,31-40,C6,0
CN30344897,4354696299,S2,24-12-2001,ACT17,31-40,C9,1
CN52646291,6464304412,S2,12-06-2001,ACT18,31-40,C19,0
CN85701995,3553012641,S2,19-08-2001,ACT19,31-40,C4,0
CN85415202,6208138767,S2,24-04-2001,ACT20,31-40,C6,1
CN78866195,7008956278,S2,16-09-2001,ACT16,31-40,C9,0
CN41974493,7213118389,S2,03-10-2001,ACT17,31-40,C10,0
CN83750869,5737216386,S2,12-06-2001,ACT18,31-40,C19,1
CN43994219,2818167770,S2,19-08-2001,ACT19,31-40,C4,0
CN49473895,4325943720,S2,24-04-2001,ACT20,31-40,C6,1
CN89940726,3663946538,S2,16-09-2001,ACT16,31-40,C9,0
CN74333850,2926238273,S2,03-10-2001,ACT17,31-40,C10,0
CN99128408,6481651005,S2,24-10-2001,ACT18,31-40,C3,1
CN79294333,7172813960,S2,30-11-2001,ACT19,31-40,C8,0
CN80057395,2787371495,S2,02-12-2001,ACT20,31-40,C7,1
CN76541130,7958578244,S2,18-12-2001,ACT16,31-40,C6,0
CN22582358,6909636042,S2,24-12-2001,ACT17,31-40,C9,1
CN47716786,2944972790,S2,12-06-2001,ACT18,31-40,C19,1
CN79034156,8277235433,S2,19-08-2001,ACT19,31-40,C4,0
CN26394761,8506799271,S2,24-04-2001,ACT20,31-40,C6,1
CN93690216,2691598908,S2,16-09-2001,ACT16,31-40,C9,0
CN65702303,3757169756,S2,03-10-2001,ACT17,31-40,C10,0
CN84807045,7439179898,S2,12-06-2001,ACT18,31-40,C19,1
CN64345491,6570566592,S2,19-08-2001,ACT19,31-40,C4,0
CN73467843,3775652146,S2,24-04-2001,ACT20,31-40,C6,1
CN80045683,6003836790,S2,16-09-2001,ACT16,31-40,C9,0
CN54296263,9961896069,S2,03-10-2001,ACT17,31-40,C10,0
CN56907810,7215523525,S2,24-10-2001,ACT18,31-40,C3,1
CN23270442,7021916262,S3,30-11-2001,ACT16,31-40,C8,0
CN37532506,4163196454,S3,02-12-2001,ACT17,31-40,C7,1
CN65650671,7423624709,S3,18-12-2001,ACT18,31-40,C6,0
CN38034027,8355719780,S3,24-12-2001,ACT19,31-40,C9,1
CN61610061,4634007517,S3,12-06-2001,ACT20,31-40,C19,1
CN41248070,4412639875,S3,19-08-2001,ACT16,31-40,C4,0
CN95924849,8509644815,S3,24-04-2001,ACT17,31-40,C6,1
CN26538582,3502779678,S3,16-09-2001,ACT18,31-40,C9,0
CN36704070,2491862908,S3,03-10-2001,ACT19,31-40,C10,0
CN72926378,9607505406,S3,24-10-2001,ACT20,31-40,C3,1
CN56834574,3337171888,S3,30-11-2001,ACT16,31-40,C8,0
CN63953645,5784588299,S3,02-12-2001,ACT17,31-40,C7,1
CN32804920,8321558411,S3,18-12-2001,ACT18,31-40,C6,0
CN91553965,9020327706,S3,24-12-2001,ACT19,31-40,C9,1
CN67572105,3310895272,S3,12-06-2001,ACT20,31-40,C19,1
CN93524707,8362361467,S3,19-08-2001,ACT16,31-40,C4,0
CN48807813,5835697680,S3,24-04-2001,ACT17,31-40,C6,1
CN59853549,4714854371,S3,16-09-2001,ACT18,31-40,C9,0
CN87129211,6002135234,S3,03-10-2001,ACT19,31-40,C10,0
CN61702612,5909241056,S3,24-10-2001,ACT20,31-40,C3,1
CN98743856,4821288730,S3,30-11-2001,ACT16,31-40,C8,0
CN66989115,9472466844,S3,02-12-2001,ACT17,31-40,C7,1
CN53928886,7763166028,S3,18-12-2001,ACT18,31-40,C6,0
CN86997041,8716503546,S3,24-12-2001,ACT19,31-40,C9,1
CN31065344,4046030909,S3,12-06-2001,ACT20,31-40,C19,1
CN47559133,9817075766,S3,19-08-2001,ACT16,31-40,C4,0
CN60142160,8969154203,S3,24-04-2001,ACT17,31-40,C6,1
CN63219916,8195361175,S3,16-09-2001,ACT18,31-40,C9,0
CN39838834,9844061604,S3,03-10-2001,ACT19,31-40,C10,0
CN72319458,3141450895,S3,24-10-2001,ACT20,31-40,C3,1
CN53472144,4818146287,S3,30-11-2001,ACT16,31-40,C8,0
CN27395363,3484391283,S3,02-12-2001,ACT17,31-40,C7,1
CN93089441,8667811804,S3,18-12-2001,ACT18,31-40,C6,0
CN81403881,5784454727,S3,24-12-2001,ACT19,31-40,C9,1
CN44354003,7382603748,S3,12-06-2001,ACT20,31-40,C19,1
CN90700364,7767748570,S3,19-08-2001,ACT16,31-40,C4,0
CN22417240,3723550009,S3,24-04-2001,ACT17,31-40,C6,1
CN65055872,6315016203,S3,16-09-2001,ACT18,31-40,C9,0
CN78417595,4021676520,S3,03-10-2001,ACT19,31-40,C10,0
CN54331310,3651351296,S3,24-10-2001,ACT20,31-40,C3,1
CN22923306,6427365894,S3,30-11-2001,ACT16,31-40,C8,0
CN78199685,8687197996,S3,02-12-2001,ACT17,31-40,C7,1
CN78491045,9298826279,S3,18-12-2001,ACT18,31-40,C6,0
CN41933726,8879759500,S3,24-12-2001,ACT19,31-40,C9,1
CN57858705,8755556083,S3,12-06-2001,ACT20,31-40,C19,1
CN22990073,9117216678,S3,19-08-2001,ACT16,31-40,C4,0
CN25704887,7205077944,S3,24-04-2001,ACT17,31-40,C6,1
CN95324452,8170178833,S3,16-09-2001,ACT18,31-40,C9,0
CN87712875,7673328828,S3,03-10-2001,ACT19,31-40,C10,0
CN84154883,2558294154,S3,24-10-2001,ACT20,31-40,C3,1
CN79428293,8586606291,S3,30-11-2001,ACT16,31-40,C8,0
CN40311960,5687003906,S3,02-12-2001,ACT17,31-40,C7,1
CN27345186,6198287831,S3,18-12-2001,ACT18,31-40,C6,0
CN52711137,4940669377,S3,24-12-2001,ACT19,31-40,C9,0
CN55588772,4330347645,S3,12-06-2001,ACT20,31-40,C19,1
CN39209329,6562870714,S3,19-08-2001,ACT16,31-40,C4,0
CN64064523,3522037584,S3,24-04-2001,ACT17,31-40,C6,1
CN69348598,7669161804,S3,16-09-2001,ACT18,31-40,C9,0
CN30296407,9931471362,S3,03-10-2001,ACT19,31-40,C10,0
CN44860416,5347151107,S3,12-06-2001,ACT20,31-40,C19,1
CN26388970,8855938364,S3,19-08-2001,ACT16,31-40,C4,0
CN90384208,8201805398,S3,24-04-2001,ACT17,31-40,C6,1
CN91092058,8131116388,S3,16-09-2001,ACT18,31-40,C9,0
CN92330601,3440823389,S3,03-10-2001,ACT19,31-40,C10,0
CN99153201,4649986401,S3,24-10-2001,ACT20,31-40,C3,1
CN90369678,8272481590,S3,30-11-2001,ACT16,31-40,C8,0
CN86275768,7814750863,S3,02-12-2001,ACT17,31-40,C7,1
CN67183202,9524307829,S3,18-12-2001,ACT18,31-40,C6,0
CN76857116,4763531188,S3,24-12-2001,ACT19,31-40,C9,1
CN30659171,7207298882,S3,12-06-2001,ACT20,31-40,C19,1
CN58856901,4738199660,S3,19-08-2001,ACT16,31-40,C4,0
CN47385934,7466968648,S3,24-04-2001,ACT17,31-40,C6,1
CN48388784,3605412330,S3,16-09-2001,ACT18,31-40,C9,0
CN72663972,3819701384,S3,03-10-2001,ACT19,31-40,C10,0
CN42046441,3653064878,S3,24-10-2001,ACT20,31-40,C3,1
CN80033933,6794514172,S3,30-11-2001,ACT16,31-40,C8,0
CN95196552,6758554484,S3,02-12-2001,ACT17,31-40,C7,1
CN23327849,5932424421,S3,18-12-2001,ACT18,31-40,C6,0
CN30454450,9952610277,S3,24-12-2001,ACT19,31-40,C9,1
CN49792541,2730783009,S3,12-06-2001,ACT20,31-40,C19,1
CN56791888,7809359050,S3,19-08-2001,ACT16,31-40,C4,0
CN55924051,8611563235,S3,24-04-2001,ACT17,31-40,C6,1
CN27980791,7507278295,S3,16-09-2001,ACT18,31-40,C9,0
CN24136623,9601191756,S4,03-10-2001,ACT16,31-40,C10,0
CN97111619,2967323230,S4,24-10-2001,ACT17,31-40,C3,1
CN30159118,3963585259,S4,30-11-2001,ACT18,31-40,C8,0
CN56504939,5506191226,S4,02-12-2001,ACT19,31-40,C7,1
CN80686435,9826999932,S4,18-12-2001,ACT20,31-40,C6,0
CN30475940,5330789832,S4,24-12-2001,ACT16,31-40,C9,1
CN87570999,8361035696,S4,12-06-2001,ACT17,31-40,C19,1
CN72391824,4710901816,S4,19-08-2001,ACT18,31-40,C4,0
CN82659777,4065395787,S4,24-04-2001,ACT19,31-40,C6,1
CN95345641,4327533539,S4,16-09-2001,ACT20,31-40,C9,0
CN60666301,9294724447,S4,03-10-2001,ACT16,31-40,C10,0
CN76760604,2583369591,S4,24-10-2001,ACT17,31-40,C3,1
CN77158999,4356518449,S4,30-11-2001,ACT18,31-40,C8,0
CN48520278,3578821480,S4,02-12-2001,ACT19,31-40,C7,1
CN76523078,9066715175,S4,18-12-2001,ACT20,31-40,C6,0
CN42109789,8467754798,S4,24-12-2001,ACT16,31-40,C9,1
CN85247380,8875824526,S4,12-06-2001,ACT17,31-40,C19,1
CN56093385,9395346491,S4,19-08-2001,ACT18,31-40,C4,0
CN94048641,6657299257,S4,24-04-2001,ACT19,31-40,C6,1
CN24963801,6718207322,S4,16-09-2001,ACT20,31-40,C9,0
CN82076106,5595201130,S4,03-10-2001,ACT16,31-40,C10,0
CN76211867,5765867055,S4,24-10-2001,ACT17,31-40,C3,1
CN45887593,8989423332,S4,30-11-2001,ACT18,31-40,C8,0
CN83859037,9744931921,S4,02-12-2001,ACT19,31-40,C7,1
CN91550830,4313419350,S4,18-12-2001,ACT20,31-40,C6,0
CN69572604,2538656592,S4,24-12-2001,ACT16,31-40,C9,1
CN68455788,3957845844,S4,12-06-2001,ACT17,31-40,C19,1
CN66965600,6399648301,S4,19-08-2001,ACT18,31-40,C4,0
CN68594015,9754311753,S4,24-04-2001,ACT19,31-40,C6,1
CN79797552,8039850060,S4,16-09-2001,ACT20,31-40,C9,0
CN59879172,9571021515,S4,03-10-2001,ACT16,31-40,C10,0
CN63041725,3530157406,S4,24-10-2001,ACT17,31-40,C3,1
CN66116940,9012585744,S4,30-11-2001,ACT18,31-40,C8,0
CN63745851,5941801995,S4,02-12-2001,ACT19,31-40,C7,1
CN52808677,6093152005,S4,18-12-2001,ACT20,31-40,C6,0
CN90477690,7019803041,S4,24-12-2001,ACT16,31-40,C9,1
CN33753333,3500113880,S4,12-06-2001,ACT17,31-40,C19,1
CN94240309,6802258972,S4,19-08-2001,ACT18,31-40,C4,0
CN37851703,3641594663,S4,24-04-2001,ACT19,31-40,C6,1
CN50045769,6827570045,S4,16-09-2001,ACT20,31-40,C9,0
CN92136389,4207812367,S4,03-10-2001,ACT16,31-40,C10,0
CN62666101,7096739236,S4,24-10-2001,ACT17,31-40,C3,1
CN66658015,8913316835,S4,30-11-2001,ACT18,31-40,C8,0
CN74883009,7666860231,S4,02-12-2001,ACT19,31-40,C7,1
CN81957053,3556192552,S4,18-12-2001,ACT20,31-40,C6,0
CN83698377,2607701204,S4,24-12-2001,ACT16,31-40,C9,1
CN58625472,7304579286,S4,12-06-2001,ACT17,31-40,C19,1
CN74802821,4432993481,S4,19-08-2001,ACT18,31-40,C4,0
CN35970791,5914589825,S4,24-04-2001,ACT19,31-40,C6,1
CN87531827,7108294406,S4,16-09-2001,ACT20,31-40,C9,0
CN76536289,5251865570,S4,03-10-2001,ACT16,31-40,C10,0
CN78847688,9500337762,S4,24-10-2001,ACT17,31-40,C3,1
CN33520730,3856615558,S4,30-11-2001,ACT18,31-40,C8,0
CN86605621,8826991367,S4,02-12-2001,ACT19,31-40,C7,1
CN94136730,7409533815,S4,18-12-2001,ACT20,31-40,C6,0
CN30761265,8500411431,S4,24-12-2001,ACT16,31-40,C9,1
CN28833092,5424138587,S4,12-06-2001,ACT17,31-40,C19,1
CN90539536,9475838871,S4,19-08-2001,ACT18,31-40,C4,0
CN95044239,6473819165,S4,24-04-2001,ACT19,31-40,C6,1
CN37462684,7057681727,S4,16-09-2001,ACT20,31-40,C9,0
CN68937209,6838227810,S4,03-10-2001,ACT16,31-40,C10,0
CN28297535,9740374308,S4,24-10-2001,ACT17,31-40,C3,1
CN97208394,4094326697,S4,30-11-2001,ACT18,31-40,C8,0
CN31700993,9882210745,S4,02-12-2001,ACT19,31-40,C7,1
CN23592112,4769722952,S4,18-12-2001,ACT20,31-40,C6,0
CN23532149,4687042600,S4,24-12-2001,ACT16,31-40,C9,1
CN64452844,7833158155,S4,24-10-2001,ACT17,31-40,C3,1
CN54757719,3054490493,S4,30-11-2001,ACT18,31-40,C8,0
CN56094567,9709261191,S4,02-12-2001,ACT19,31-40,C7,1
CN78660691,9519122170,S4,18-12-2001,ACT20,31-40,C6,0
CN40925997,5449225688,S4,24-12-2001,ACT16,31-40,C9,1
CN52618620,6819837844,S4,12-06-2001,ACT17,31-40,C19,1
CN84342906,5398283491,S4,19-08-2001,ACT18,31-40,C4,0
CN56688791,4727664528,S4,24-04-2001,ACT19,31-40,C6,1
CN40738225,5156952816,S4,16-09-2001,ACT20,31-40,C9,0
CN25350711,8068178299,S4,03-10-2001,ACT16,31-40,C10,0
CN33579175,8113518430,S4,24-10-2001,ACT17,31-40,C3,1
CN73955518,7790939247,S4,30-11-2001,ACT18,31-40,C8,0
CN81193358,2549042547,S4,02-12-2001,ACT19,31-40,C7,1
CN89647720,7106052598,S4,18-12-2001,ACT20,31-40,C6,0
CN95376226,4374882690,S4,24-12-2001,ACT16,31-40,C9,1
CN65265258,4645331675,S4,12-06-2001,ACT17,31-40,C19,1
CN94185053,3956392629,S4,19-08-2001,ACT18,31-40,C4,0
CN71265564,9105218565,S5,24-04-2001,ACT16,31-40,C6,1
CN76331307,3216121802,S5,16-09-2001,ACT17,31-40,C9,0
CN85199677,3264893438,S5,03-10-2001,ACT18,31-40,C10,0
CN39395132,8634357388,S5,24-10-2001,ACT19,31-40,C3,1
CN52771441,8760861675,S5,30-11-2001,ACT20,31-40,C8,0
CN52429053,2897934535,S5,02-12-2001,ACT16,31-40,C7,1
CN93134759,2349302913,S5,18-12-2001,ACT17,31-40,C6,0
CN73605811,6496447653,S5,24-12-2001,ACT18,31-40,C9,1
CN60628987,3577278434,S5,12-06-2001,ACT19,31-40,C19,1
CN49902029,7272551567,S5,19-08-2001,ACT20,31-40,C4,0
CN53617046,5338647406,S5,24-04-2001,ACT16,31-40,C6,1
CN80902408,5070361383,S5,16-09-2001,ACT17,31-40,C9,0
CN43159689,6313471328,S5,03-10-2001,ACT18,31-40,C10,0
CN66034635,8464823689,S5,24-10-2001,ACT19,31-40,C3,1
CN83814537,9407122513,S5,30-11-2001,ACT20,31-40,C8,0
CN59021016,3940881971,S5,02-12-2001,ACT16,31-40,C7,1
CN34228831,9018696877,S5,18-12-2001,ACT17,31-40,C6,0
CN52008511,8155746426,S5,24-12-2001,ACT18,31-40,C9,1
CN87741454,3787500072,S5,24-10-2001,ACT19,31-40,C3,1
CN68798766,4379308662,S5,30-11-2001,ACT20,31-40,C8,0
CN53190556,5348962849,S5,02-12-2001,ACT16,31-40,C7,1
CN25867641,8144987388,S5,18-12-2001,ACT17,31-40,C6,0
CN38500773,8471845697,S5,24-12-2001,ACT18,31-40,C9,1
CN52031395,4316198580,S5,12-06-2001,ACT19,31-40,C19,1
CN90284140,3633764877,S5,19-08-2001,ACT20,31-40,C4,0
CN73762345,3804932120,S5,24-04-2001,ACT16,31-40,C6,1
CN50654592,8230926457,S5,16-09-2001,ACT17,31-40,C9,0
CN87985167,9415179814,S5,03-10-2001,ACT18,31-40,C10,0
CN79357667,4752945818,S5,24-10-2001,ACT19,31-40,C3,1
CN81170728,8683689228,S5,30-11-2001,ACT20,31-40,C8,0
CN86404278,8709406076,S5,02-12-2001,ACT16,31-40,C7,1
CN92170851,6157148835,S5,18-12-2001,ACT17,31-40,C6,0
CN36157721,3145907233,S5,24-12-2001,ACT18,31-40,C9,1
CN26587987,5494569979,S5,12-06-2001,ACT19,31-40,C19,1
CN33518911,8621058334,S5,19-08-2001,ACT20,31-40,C4,0
CN86224349,2437858833,S5,24-04-2001,ACT16,31-40,C6,1
CN59586451,8740840774,S5,16-09-2001,ACT17,31-40,C9,0
CN49203957,7062784982,S5,03-10-2001,ACT18,31-40,C10,0
CN92770729,2537231924,S5,12-06-2001,ACT19,31-40,C19,1
CN63226561,9956376259,S5,19-08-2001,ACT20,31-40,C4,0
CN80536444,4773719635,S5,24-04-2001,ACT16,31-40,C6,1
CN66499377,7975923274,S5,16-09-2001,ACT17,31-40,C9,0
CN83564721,7830736915,S5,03-10-2001,ACT18,31-40,C10,0
CN57648174,8368209265,S5,24-10-2001,ACT19,31-40,C3,1
CN78994968,2287402955,S5,30-11-2001,ACT20,31-40,C8,0
CN97591500,3703713028,S5,02-12-2001,ACT16,31-40,C7,1
CN75932793,7965987006,S5,18-12-2001,ACT17,31-40,C6,0
CN81209125,3341845029,S5,24-12-2001,ACT18,31-40,C9,1
CN76664645,2247918055,S5,12-06-2001,ACT19,31-40,C19,1
CN73582785,6123949915,S5,19-08-2001,ACT20,31-40,C4,0
CN88835617,9433466283,S5,24-04-2001,ACT16,31-40,C6,1
CN81996223,9615180027,S5,16-09-2001,ACT17,31-40,C9,0
CN64409092,6833844965,S5,03-10-2001,ACT18,31-40,C10,0
CN31477007,3949650381,S5,24-10-2001,ACT19,31-40,C3,1
CN50169537,9027158822,S5,30-11-2001,ACT20,31-40,C8,0
CN89008043,8734800421,S5,02-12-2001,ACT16,31-40,C7,1
CN29803601,5870438248,S5,18-12-2001,ACT17,31-40,C6,0
CN78338516,7304216247,S5,24-12-2001,ACT18,31-40,C9,1
CN57683544,7511201615,S5,12-06-2001,ACT19,31-40,C19,1
CN49721623,9629419338,S5,19-08-2001,ACT20,31-40,C4,0
CN57427395,6615305113,S5,24-04-2001,ACT16,31-40,C6,1
CN48602238,7836461230,S5,16-09-2001,ACT17,31-40,C9,0
CN26158078,9510567971,S5,03-10-2001,ACT18,31-40,C10,0
CN36127091,7027512397,S5,24-10-2001,ACT19,31-40,C3,1
CN30299054,9279037932,S5,30-11-2001,ACT20,31-40,C8,0
CN23445484,6609535127,S5,02-12-2001,ACT16,31-40,C7,1
CN71764087,6941254185,S5,18-12-2001,ACT17,31-40,C6,0
CN88024139,3382688842,S5,24-12-2001,ACT18,31-40,C9,1
CN57889804,8261439211,S5,12-06-2001,ACT19,31-40,C19,1
CN28520797,2537709339,S5,19-08-2001,ACT20,31-40,C4,0
CN41395256,7057092409,S5,24-04-2001,ACT16,31-40,C6,1
CN93151272,5227024012,S5,16-09-2001,ACT17,31-40,C9,0
CN60345040,5174962602,S5,03-10-2001,ACT18,31-40,C10,0
CN66663466,3440796914,S5,24-10-2001,ACT19,31-40,C3,1
CN46198044,6388382641,S5,30-11-2001,ACT20,31-40,C8,0
CN38410692,5862488493,S5,02-12-2001,ACT16,31-40,C7,1
CN39428655,6140477812,S5,18-12-2001,ACT17,31-40,C6,0
CN73156546,3446338279,S5,24-12-2001,ACT18,31-40,C9,1
